dateFiled,filename
2010-01-31,1436
2010-02-28,1057
2010-03-31,1049
2010-04-30,1242
2010-05-31,1382
2010-06-30,1518
2010-07-31,1566
2010-08-31,1422
2010-09-30,1458
2010-10-31,1409
2010-11-30,1393
2010-12-31,1265
2011-01-31,1563
2011-02-28,1128
2011-03-31,1161
2011-04-30,1271
2011-05-31,1435
2011-06-30,1472
2011-07-31,1549
2011-08-31,1653
2011-09-30,1499
2011-10-31,1411
2011-11-30,1418
2011-12-31,1256
2012-01-31,1469
2012-02-29,1111
2012-03-31,1070
2012-04-30,1368
2012-05-31,1478
2012-06-30,1450
2012-07-31,1622
2012-08-31,1659
2012-09-30,1401
2012-10-31,1447
2012-11-30,1358
2012-12-31,1288
2013-01-31,1623
2013-02-28,1218
2013-03-31,1209
2013-04-30,1316
2013-05-31,1528
2013-06-30,1458
2013-07-31,1724
2013-08-31,1684
2013-09-30,1591
2013-10-31,1639
2013-11-30,1347
2013-12-31,1396
2014-01-31,1606
2014-02-28,1280
2014-03-31,1193
2014-04-30,1284
2014-05-31,1481
2014-06-30,1606
2014-07-31,1666
2014-08-31,1491
2014-09-30,1511
2014-10-31,1418
2014-11-30,1277
2014-12-31,2028
2015-01-31,1575
2015-02-28,1222
2015-03-31,1227
2015-04-30,1288
2015-05-31,1390
2015-06-30,1568
2015-07-31,1694
2015-08-31,1488
2015-09-30,1567
2015-10-31,1401
2015-11-30,1316
2015-12-31,1271
2016-01-31,1540
2016-02-29,1200
2016-03-31,1201
2016-04-30,1338
2016-05-31,1387
2016-06-30,1588
2016-07-31,1682
2016-08-31,1617
2016-09-30,1545
2016-10-31,1425
2016-11-30,1391
2016-12-31,1415
2017-01-31,1525
2017-02-28,1376
2017-03-31,1162
2017-04-30,1327
2017-05-31,1458
2017-06-30,1582
2017-07-31,1523
2017-08-31,1714
2017-09-30,1512
2017-10-31,1569
2017-11-30,1302
2017-12-31,1307
2018-01-31,1611
2018-02-28,1356
2018-03-31,1158
2018-04-30,1334
2018-05-31,1465
2018-06-30,1561
2018-07-31,1626
2018-08-31,1595
2018-09-30,1495
2018-10-31,1614
2018-11-30,1415
2018-12-31,1278
2019-01-31,1684
2019-02-28,1360
2019-03-31,1212
2019-04-30,1312
2019-05-31,1505
2019-06-30,1504
2019-07-31,1606
2019-08-31,1636
2019-09-30,1612
2019-10-31,1577
2019-11-30,1439
2019-12-31,1449
2020-01-31,1605
2020-02-29,1338
2020-03-31,1061
2020-04-30,464
2020-05-31,477
2020-06-30,590
2020-07-31,622
2020-08-31,810
2020-09-30,713
2020-10-31,796
2020-11-30,773
2020-12-31,890
2021-01-31,937
2021-02-28,698
2021-03-31,752
2021-04-30,602
2021-05-31,783
2021-06-30,947
2021-07-31,921
2021-08-31,853
